id,name,weapon,weapon_type,rarity,collection,price,wear,source,release_year,image,description
11,MAC-10 | Neon Rider,MAC-10,SMG,Covert,Chroma 2 Collection,12.6,Field-Tested,Case Drop,2015,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_mac10_cu_mac10_neonrider_light_large.4ba82cf2ba2d9fdc694d707b563421bbcc20b174.png,Скин для MAC-10 в ретровейв-стилистике.
12,FAMAS | Roll Cage,FAMAS,Rifle,Covert,Gamma 2 Collection,9.4,Well-Worn,Case Drop,2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_famas_gs_famas_rally_light_large.538baee44eb772de95029e4267ea9c41101bbc94.png,Контрастный красно-белый дизайн для FAMAS.
13,MP9 | Food Chain,MP9,SMG,Classified,Snakebite Collection,6.1,Minimal Wear,Case Drop,2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_mp9_cu_mp9_food_chain_light_large.5895f4cc864387a61a3783470037e6ed1953f7df.png,Динамичный скин с кислотной цветовой гаммой.
14,Galil AR | Chromatic Aberration,Galil AR,Rifle,Classified,Snakebite Collection,5.2,Field-Tested,Case Drop,2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_galilar_cu_galil_chroma_pink_light_large.e29cb838de1fc6318d36ed2d7263b7fcef10a4d8.png,Графичный дизайн с эффектом цветового смещения.
15,Five-SeveN | Angry Mob,Five-SeveN,Pistol,Covert,Prisma Collection,10.5,Field-Tested,Case Drop,2019,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_fiveseven_cu_five_seven_angry_light_large.54986e86178e0462d34fe78b6b726292813541f5.png,Пистолет с ярким уличным рисунком.
16,AK-47 | Nightwish,AK-47,Rifle,Covert,Dreams & Nightmares Collection,38.7,Field-Tested,Case Drop,2022,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_ak47_cu_ak47_nightwish_light_large.0c4581be094e2bd732bec18ebdad2f71b1018af2.png,Фантазийный дизайн AK-47 с неоновыми элементами.
17,MP7 | Bloodsport,MP7,SMG,Covert,Spectrum Collection,6.8,Minimal Wear,Case Drop,2017,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_mp7_gs_mp7_bloodsport_light_large.ab5c304901ceb320482742b041815e7b5e3ccb95.png,Красно-белый спортивный дизайн для MP7.
18,Tec-9 | Fuel Injector,Tec-9,Pistol,Classified,Gamma 2 Collection,9.8,Field-Tested,Case Drop,2016,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_tec9_gs_tec9_supercharged_light_large.e3ebc20f10eae02790fe95703b6099acca1d1809.png,Технический желто-черный дизайн для Tec-9.
19,AWP | Neo-Noir,AWP,Sniper Rifle,Covert,Danger Zone Collection,34.6,Field-Tested,Case Drop,2018,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_awp_cu_awp_neonoir_light_large.c5dd57f8555d13c41f08024f27a9314074b698af.png,AWP в стиле нео-нуар с контрастной иллюстрацией.
20,M4A4 | In Living Color,M4A4,Rifle,Covert,Snakebite Collection,24.2,Field-Tested,Case Drop,2021,https://steamcdn-a.akamaihd.net/apps/730/icons/econ/default_generated/weapon_m4a1_cu_m4a4_love_light_large.5f7f6a3085aedc1a878dd10881144e7898a2db3d.png,Яркий скин M4A4 с граффити-эстетикой.
